id,web_name,status,defcons,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,match_id,minutes_played,goals,assists,minutesinmatch,goalsinmatch,assistsinmatch,cumminutes,cumgoals,cumassists,cumcleansheets,cumgoalsconceded,cumsaves,position,nextgwpoints,gw2status,gw2min,gw2goalsscored,gw2assists,gw2cs,gw2goals_conceded,gw2defcons,gw2match-id,gw2minutes_playedinmatch,gw2goalsinmatch,gw2assistsinmatch,gw2cummins,gw2cumgoals,gw2cumassits,gw2cumcs,gw2cumgoalsconceded,gw2cumsaves,gw3status,gw3min,gw3goalsscored,gw3assists,gw3cs,gw3defcons,gw3points,gw3match-id,gw3minutes_playedinmatch,gw3goalsinmatch,gw3goals_conceded,gw3assistsinmatch,gw3cummins,gw3cumgoals,gw3cumassists,gw3cumcs,gw3cumgoalsconceded,gw3cumsdefcons,gw3cumsaves,gw3cumtotalpoints,nwxtgwpoints
17,Ødegaard,a,14,5,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder,1,d,37,0,0,0,0,2,25-26-prem-arsenal-vs-leeds-united,38,0,0,127,0,0,0,1,0,d,20,0,0,0,1,1,25-26-prem-liverpool-vs-arsenal,20,0,1,0,147,0,0,1,1,17,0,7,0
18,Madueke,a,0,1,30,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,30,0,0,30,0,0,30,0,0,0,0,0,Midfielder,3,a,63,0,0,1,0,3,25-26-prem-arsenal-vs-leeds-united,64,0,0,93,0,0,0,1,0,a,88,0,0,0,1,2,25-26-prem-liverpool-vs-arsenal,89,0,1,0,181,0,0,1,1,5,0,6,0
19,Martinelli,a,4,1,59,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,60,0,0,60,0,0,59,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,59,0,0,0,0,0,a,69,0,0,1,0,3,25-26-prem-liverpool-vs-arsenal,70,0,0,0,128,0,0,1,0,7,0,4,0
20,Trossard,d,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,1,a,37,0,0,0,0,0,25-26-prem-arsenal-vs-leeds-united,37,0,0,37,0,0,0,0,0,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,37,0,0,0,0,0,0,1,0
21,Rice,d,4,6,82,0,1,1,0,25-26-prem-manchester-united-vs-arsenal,83,0,1,83,0,0,82,0,1,1,0,0,Midfielder,6,a,90,0,1,1,0,3,25-26-prem-arsenal-vs-leeds-united,90,0,1,172,0,0,2,2,0,a,90,0,0,0,1,13,25-26-prem-liverpool-vs-arsenal,90,0,1,0,262,0,2,2,1,20,0,16,1
22,Merino,a,1,1,7,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,7,0,0,7,0,0,7,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,7,0,0,0,0,0,a,69,0,0,1,0,5,25-26-prem-liverpool-vs-arsenal,70,0,0,0,76,0,0,1,0,6,0,4,3
23,Fábio Vieira,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,1
24,Nørgaard,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,i,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,4
25,Nwaneri,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,1,a,52,0,0,0,0,4,25-26-prem-arsenal-vs-leeds-united,52,0,0,52,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,52,0,0,0,0,4,0,1,1
26,Zubimendi,a,12,5,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder,3,a,90,0,0,1,0,8,25-26-prem-arsenal-vs-leeds-united,90,0,0,180,0,0,0,2,0,a,90,0,0,0,1,7,25-26-prem-liverpool-vs-arsenal,90,0,1,0,270,0,0,2,1,27,0,9,3
