id,web_name,status,defensive_contribution_per_90,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,match_id,minutes_played,goals,assists,minutesinmatch,goalsinmatch,assistsinmatch,cumminutes,cumgoals,cumassists,cumcleansheets,cumgoalsconceded,cumsaves,position
36,Cash,a,6.06,8,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Defender
37,Digne,a,4.63,6,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Defender
38,Konsa,a,5.9,3,65,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,66,0,0,66,0,0,65,0,0,1,0,0,Defender
39,Maatsen,a,8.2,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
40,Mings,i,7.42,6,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Defender
41,Pau,d,6.9,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
42,A.García,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
43,Alex Moreno,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
44,Bogarde,a,4.25,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
45,Sousa,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
46,Yasin,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
47,Rogers,a,6.2,3,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder
48,Tielemans,a,9.13,3,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder
49,Bailey,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
50,Buendía,a,9.5,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
51,Iling Jr,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
53,Malen,a,2.4,1,6,0,0,0,0,25-26-prem-aston-villa-vs-newcastle-united,6,0,0,6,0,0,6,0,0,0,0,0,Midfielder
54,McGinn,a,7.55,3,83,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,84,0,0,84,0,0,83,0,0,1,0,0,Midfielder
55,Barkley,i,11.84,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
56,Barrenechea,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
57,Dobbin,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
58,Kamara,a,9.28,2,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder
59,Onana,a,12.88,5,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder
60,Broggio,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
61,Dendoncker,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
62,Jimoh-Aloba,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
63,Young,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
64,Watkins,a,3.3,2,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Forward
65,Redmond,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
389,Elliott,a,4.64,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
456,Sancho,a,5.71,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
677,Guessand,a,8.55,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
688,Wright,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
701,Rowe,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
702,Burrowes,a,5.62,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
703,Proctor,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
710,Patterson,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
719,Lindelöf,a,3.6,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
754,George Hemmings,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
757,Hollingshead,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
183,Weiss,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
184,Green,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
185,Hladký,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
186,Roberts,i,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
187,Walker,s,7.33,1,90,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,90,0,0,90,0,0,90,0,0,0,3,0,Defender
188,Delcroix,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
189,Dodgson,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
190,Ekdal,a,10.73,1,90,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,90,0,0,90,0,0,90,0,0,0,3,0,Defender
191,Estève,a,10.53,1,90,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,90,0,0,90,0,0,90,0,0,0,3,0,Defender
192,Hartman,a,7.07,1,90,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,90,0,0,90,0,0,90,0,0,0,3,0,Defender
193,Humphreys,i,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
194,Jordan,i,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
195,Lucas Pires,s,1.76,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
196,Sambo,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
197,Sonne,a,1.76,1,73,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,74,0,0,74,0,0,73,0,0,0,3,0,Defender
198,Tuanzebe,d,10,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
199,Worrall,a,19.69,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
200,Anthony,a,7.67,2,84,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,85,0,0,85,0,0,84,0,0,0,3,0,Midfielder
201,Benson,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
202,Bruun Larsen,a,5.21,1,27,0,0,0,1,25-26-prem-tottenham-hotspur-vs-burnley,27,0,0,27,0,0,27,0,0,0,1,0,Midfielder
203,Boateng,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
204,Churlinov,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
205,Cullen,a,10.4,4,90,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,90,0,0,90,0,0,90,0,0,0,3,0,Midfielder
206,Edwards,a,3.27,1,5,0,0,0,0,25-26-prem-tottenham-hotspur-vs-burnley,5,0,0,5,0,0,5,0,0,0,0,0,Midfielder
207,Hannibal,s,7.97,2,62,0,0,0,2,25-26-prem-tottenham-hotspur-vs-burnley,63,0,0,63,0,0,62,0,0,0,2,0,Midfielder
208,Koleosho,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
209,Laurent,a,8.51,2,62,0,0,0,2,25-26-prem-tottenham-hotspur-vs-burnley,63,0,0,63,0,0,62,0,0,0,2,0,Midfielder
210,Tchaouna,a,5.58,1,16,0,0,0,0,25-26-prem-tottenham-hotspur-vs-burnley,16,0,0,16,0,0,16,0,0,0,0,0,Midfielder
211,A.Ramsey,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
212,Adewumi,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
213,Banel,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
214,Trésor,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
215,Flemming,a,4.45,1,16,0,0,0,0,25-26-prem-tottenham-hotspur-vs-burnley,16,0,0,16,0,0,16,0,0,0,0,0,Forward
216,Amdouni,i,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
217,Foster,a,4.81,2,73,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,74,0,0,74,0,0,73,0,0,0,3,0,Forward
218,Barnes,a,12.86,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
219,Obafemi,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
470,Dúbravka,a,0,2,90,0,0,0,3,25-26-prem-tottenham-hotspur-vs-burnley,90,0,0,90,0,0,90,0,0,0,3,3,Goalkeeper
